,zipcode,neighborhood,number_tests,Race Total,"Total, not Hispanic/Latino","White, not Hispanic/Latino","Black, not Hispanic/Latino","Native, not Hispanic/Latino","Asian, not Hispanic/Latino","PI, not Hispanic/Latino","Other, not Hispanic/Latino","2+, not Hispanic/Latino","2+, not Hispanic/Latino, incl. Other","2+, not Hispanic/Latino, excl. Other","Total, Hispanic/Latino","White, Hispanic/Latino","Black, Hispanic/Latino","Native, Hispanic/Latino","Asian, Hispanic/Latino","PI, Hispanic/Latino","Other, Hispanic/Latino","2+, Hispanic/Latino","2+, Hispanic/Latino, incl. Other","2+, Hispanic/Latino, excl. Other",Total Population,Poverty Total,Under .50,.50 to .99,1.00 to 1.24,1.25 to 1.49,1.50 to 1.84,1.84 to 1.99,Over 2.00,Agg Public Assistance,Transport Total,"Car/Truck/Van, alone","Car/Truck/Van, carpool","Public Transport, no taxi",Walk,"Taxi, Motorcycle, Bike, or Other",Work from home,area,Median Family Income,positive_rate,Population Density,Under 2.00,Car/Truck/Van,test_rate
0,10001,Chelsea and Clinton,152137,156857.0,0.8426656126280625,0.5937127447292757,0.05199002913481706,0.000892532689009735,0.1660302058562895,0.00045901681149072084,0.005202190530228169,0.024378892876951618,0.0021357032201304374,0.02224318965682118,0.1573343873719375,0.10529973160266995,0.006056471818280344,0.0031047387110552925,0.0005418948468987677,8.287803540804682e-05,0.03404374685222846,0.008204925505396634,0.0023843373263545777,0.005820588179042057,156857.0,154559.0,0.06704235922851468,0.0558039324788592,0.020658777554202604,0.024391979761773822,0.036057427907789256,0.009446230889175008,0.7865992921796854,7966300.0,103204.0,0.04183946358668269,0.010174024262625479,0.49244215340490677,0.3155982326266424,0.07194488585713732,0.06800124026200535,7.084182210354468,112595.11857934296,0.07605057153968264,22141.864133693904,0.21340070782031456,0.05201348784930817,0.9699088979133861
1,10011,Chelsea and Clinton,152137,156857.0,0.8426656126280625,0.5937127447292757,0.05199002913481706,0.000892532689009735,0.1660302058562895,0.00045901681149072084,0.005202190530228169,0.024378892876951618,0.0021357032201304374,0.02224318965682118,0.1573343873719375,0.10529973160266995,0.006056471818280344,0.0031047387110552925,0.0005418948468987677,8.287803540804682e-05,0.03404374685222846,0.008204925505396634,0.0023843373263545777,0.005820588179042057,156857.0,154559.0,0.06704235922851468,0.0558039324788592,0.020658777554202604,0.024391979761773822,0.036057427907789256,0.009446230889175008,0.7865992921796854,7966300.0,103204.0,0.04183946358668269,0.010174024262625479,0.49244215340490677,0.3155982326266424,0.07194488585713732,0.06800124026200535,7.084182210354468,112595.11857934296,0.07605057153968264,22141.864133693904,0.21340070782031456,0.05201348784930817,0.9699088979133861
2,10018,Chelsea and Clinton,152137,156857.0,0.8426656126280625,0.5937127447292757,0.05199002913481706,0.000892532689009735,0.1660302058562895,0.00045901681149072084,0.005202190530228169,0.024378892876951618,0.0021357032201304374,0.02224318965682118,0.1573343873719375,0.10529973160266995,0.006056471818280344,0.0031047387110552925,0.0005418948468987677,8.287803540804682e-05,0.03404374685222846,0.008204925505396634,0.0023843373263545777,0.005820588179042057,156857.0,154559.0,0.06704235922851468,0.0558039324788592,0.020658777554202604,0.024391979761773822,0.036057427907789256,0.009446230889175008,0.7865992921796854,7966300.0,103204.0,0.04183946358668269,0.010174024262625479,0.49244215340490677,0.3155982326266424,0.07194488585713732,0.06800124026200535,7.084182210354468,112595.11857934296,0.07605057153968264,22141.864133693904,0.21340070782031456,0.05201348784930817,0.9699088979133861
3,10019,Chelsea and Clinton,152137,156857.0,0.8426656126280625,0.5937127447292757,0.05199002913481706,0.000892532689009735,0.1660302058562895,0.00045901681149072084,0.005202190530228169,0.024378892876951618,0.0021357032201304374,0.02224318965682118,0.1573343873719375,0.10529973160266995,0.006056471818280344,0.0031047387110552925,0.0005418948468987677,8.287803540804682e-05,0.03404374685222846,0.008204925505396634,0.0023843373263545777,0.005820588179042057,156857.0,154559.0,0.06704235922851468,0.0558039324788592,0.020658777554202604,0.024391979761773822,0.036057427907789256,0.009446230889175008,0.7865992921796854,7966300.0,103204.0,0.04183946358668269,0.010174024262625479,0.49244215340490677,0.3155982326266424,0.07194488585713732,0.06800124026200535,7.084182210354468,112595.11857934296,0.07605057153968264,22141.864133693904,0.21340070782031456,0.05201348784930817,0.9699088979133861
4,10020,Chelsea and Clinton,152137,156857.0,0.8426656126280625,0.5937127447292757,0.05199002913481706,0.000892532689009735,0.1660302058562895,0.00045901681149072084,0.005202190530228169,0.024378892876951618,0.0021357032201304374,0.02224318965682118,0.1573343873719375,0.10529973160266995,0.006056471818280344,0.0031047387110552925,0.0005418948468987677,8.287803540804682e-05,0.03404374685222846,0.008204925505396634,0.0023843373263545777,0.005820588179042057,156857.0,154559.0,0.06704235922851468,0.0558039324788592,0.020658777554202604,0.024391979761773822,0.036057427907789256,0.009446230889175008,0.7865992921796854,7966300.0,103204.0,0.04183946358668269,0.010174024262625479,0.49244215340490677,0.3155982326266424,0.07194488585713732,0.06800124026200535,7.084182210354468,112595.11857934296,0.07605057153968264,22141.864133693904,0.21340070782031456,0.05201348784930817,0.9699088979133861
5,10036,Chelsea and Clinton,152137,156857.0,0.8426656126280625,0.5937127447292757,0.05199002913481706,0.000892532689009735,0.1660302058562895,0.00045901681149072084,0.005202190530228169,0.024378892876951618,0.0021357032201304374,0.02224318965682118,0.1573343873719375,0.10529973160266995,0.006056471818280344,0.0031047387110552925,0.0005418948468987677,8.287803540804682e-05,0.03404374685222846,0.008204925505396634,0.0023843373263545777,0.005820588179042057,156857.0,154559.0,0.06704235922851468,0.0558039324788592,0.020658777554202604,0.024391979761773822,0.036057427907789256,0.009446230889175008,0.7865992921796854,7966300.0,103204.0,0.04183946358668269,0.010174024262625479,0.49244215340490677,0.3155982326266424,0.07194488585713732,0.06800124026200535,7.084182210354468,112595.11857934296,0.07605057153968264,22141.864133693904,0.21340070782031456,0.05201348784930817,0.9699088979133861
6,10002,Lower East Side,128861,186749.0,0.7966254170035716,0.4485753605106319,0.06997092353908187,0.0029237104348617663,0.2515461930184365,0.0005729615687366465,0.0017456586112910913,0.021290609320531836,0.001145923137473293,0.020144686183058542,0.20337458299642835,0.0893016830076734,0.008578359188001006,0.0017617229543397822,0.0017188847062099397,0.0,0.08831104851967078,0.013702884620533443,0.0030575799602675247,0.010645304660265918,186749.0,176382.0,0.09751561950765951,0.11784649227245411,0.04920570126203354,0.03818983796532526,0.047153337642163035,0.018063067659965303,0.6320259436903992,11487200.0,95202.0,0.04508308648977963,0.019169765341064262,0.5581605428457386,0.2374109787609504,0.0764899897060986,0.06368563685636856,5.365794295172799,68790.80346347236,0.10019298791425922,34803.60776558356,0.3679740563096007,0.0642528518308439,0.690022436532458
7,10003,Lower East Side,128861,186749.0,0.7966254170035716,0.4485753605106319,0.06997092353908187,0.0029237104348617663,0.2515461930184365,0.0005729615687366465,0.0017456586112910913,0.021290609320531836,0.001145923137473293,0.020144686183058542,0.20337458299642835,0.0893016830076734,0.008578359188001006,0.0017617229543397822,0.0017188847062099397,0.0,0.08831104851967078,0.013702884620533443,0.0030575799602675247,0.010645304660265918,186749.0,176382.0,0.09751561950765951,0.11784649227245411,0.04920570126203354,0.03818983796532526,0.047153337642163035,0.018063067659965303,0.6320259436903992,11487200.0,95202.0,0.04508308648977963,0.019169765341064262,0.5581605428457386,0.2374109787609504,0.0764899897060986,0.06368563685636856,5.365794295172799,68790.80346347236,0.10019298791425922,34803.60776558356,0.3679740563096007,0.0642528518308439,0.690022436532458
8,10009,Lower East Side,128861,186749.0,0.7966254170035716,0.4485753605106319,0.06997092353908187,0.0029237104348617663,0.2515461930184365,0.0005729615687366465,0.0017456586112910913,0.021290609320531836,0.001145923137473293,0.020144686183058542,0.20337458299642835,0.0893016830076734,0.008578359188001006,0.0017617229543397822,0.0017188847062099397,0.0,0.08831104851967078,0.013702884620533443,0.0030575799602675247,0.010645304660265918,186749.0,176382.0,0.09751561950765951,0.11784649227245411,0.04920570126203354,0.03818983796532526,0.047153337642163035,0.018063067659965303,0.6320259436903992,11487200.0,95202.0,0.04508308648977963,0.019169765341064262,0.5581605428457386,0.2374109787609504,0.0764899897060986,0.06368563685636856,5.365794295172799,68790.80346347236,0.10019298791425922,34803.60776558356,0.3679740563096007,0.0642528518308439,0.690022436532458
9,10004,Lower Manhattan,38770,55343.0,0.8975660878521222,0.5906257340585078,0.050033427895126756,0.0010660788175559691,0.2187087797914822,0.0003071752525161267,0.0031620981876660102,0.0336627938492673,0.0015178071300796848,0.03214498671918761,0.10243391214787778,0.06185064055074716,0.010913756030572971,0.0016804293225882226,0.0038667943552030066,0.0,0.01555752308331677,0.00856476880544965,0.0017346367200910685,0.006830132085358582,55343.0,53499.0,0.04994485878240715,0.05687956784238958,0.020710667489111947,0.02185087571730313,0.020224677096768163,0.005121591057776781,0.8252677620142432,1845800.0,34252.0,0.045778348709564404,0.011736540931916385,0.5474424851103585,0.29583673946046946,0.041428237767137686,0.057777648020553546,3.308911906999267,152952.52951592795,0.07513094700323439,16725.437713507632,0.17473223798575677,0.057514889641480785,0.7005402670617784
